datetime,00060_Maximum,00060_Maximum_cd,site_no,00060_Minimum,00060_Minimum_cd,00060_Mean,00060_Mean_cd
1999-04-03 00:00:00+00:00,,,08045850,,,3.9,A
1999-04-04 00:00:00+00:00,,,08045850,,,3.0,A
1999-04-05 00:00:00+00:00,,,08045850,,,2.4,A
1999-04-06 00:00:00+00:00,,,08045850,,,2.0,A
1999-04-07 00:00:00+00:00,,,08045850,,,1.9,A
1999-04-08 00:00:00+00:00,,,08045850,,,1.7,A
1999-04-09 00:00:00+00:00,,,08045850,,,1.6,A
1999-04-10 00:00:00+00:00,,,08045850,,,1.4,A
1999-04-11 00:00:00+00:00,,,08045850,,,1.3,A
1999-04-12 00:00:00+00:00,,,08045850,,,1.2,A
1999-04-13 00:00:00+00:00,,,08045850,,,1.2,A
1999-04-14 00:00:00+00:00,,,08045850,,,11.0,A
1999-04-15 00:00:00+00:00,,,08045850,,,3.7,A
1999-04-16 00:00:00+00:00,,,08045850,,,2.1,A
1999-04-17 00:00:00+00:00,,,08045850,,,1.6,A
1999-04-18 00:00:00+00:00,,,08045850,,,1.5,A
1999-04-19 00:00:00+00:00,,,08045850,,,1.5,A
1999-04-20 00:00:00+00:00,,,08045850,,,1.4,A
1999-04-21 00:00:00+00:00,,,08045850,,,1.4,A
1999-04-22 00:00:00+00:00,,,08045850,,,1.4,A
1999-04-23 00:00:00+00:00,,,08045850,,,1.3,A
1999-04-24 00:00:00+00:00,,,08045850,,,1.4,A
1999-04-25 00:00:00+00:00,,,08045850,,,1.4,A
1999-04-26 00:00:00+00:00,,,08045850,,,3.4,A
1999-04-27 00:00:00+00:00,,,08045850,,,1.5,A
1999-04-28 00:00:00+00:00,,,08045850,,,1.4,A
1999-04-29 00:00:00+00:00,,,08045850,,,1.4,A
1999-04-30 00:00:00+00:00,,,08045850,,,1.4,A
1999-05-01 00:00:00+00:00,,,08045850,,,1.3,A
1999-05-02 00:00:00+00:00,,,08045850,,,8.2,A
1999-05-03 00:00:00+00:00,,,08045850,,,2.4,A
1999-05-04 00:00:00+00:00,,,08045850,,,6.3,A
1999-05-05 00:00:00+00:00,,,08045850,,,3.3,A
1999-05-06 00:00:00+00:00,,,08045850,,,2.5,A
1999-05-07 00:00:00+00:00,,,08045850,,,2.0,A
1999-05-08 00:00:00+00:00,,,08045850,,,1.7,A
1999-05-09 00:00:00+00:00,,,08045850,,,1.5,A
1999-05-10 00:00:00+00:00,,,08045850,,,1.5,A
1999-05-11 00:00:00+00:00,,,08045850,,,1.2,A
1999-05-12 00:00:00+00:00,,,08045850,,,1.2,A
1999-05-13 00:00:00+00:00,,,08045850,,,1.1,A
1999-05-14 00:00:00+00:00,,,08045850,,,1.2,A
1999-05-15 00:00:00+00:00,,,08045850,,,1.2,A
1999-05-16 00:00:00+00:00,,,08045850,,,1.1,A
1999-05-17 00:00:00+00:00,,,08045850,,,6.7,A
1999-05-18 00:00:00+00:00,,,08045850,,,2.2,A
1999-05-19 00:00:00+00:00,,,08045850,,,1.3,A
1999-05-20 00:00:00+00:00,,,08045850,,,1.3,A
1999-05-21 00:00:00+00:00,,,08045850,,,1.4,A
1999-05-22 00:00:00+00:00,,,08045850,,,1.5,A
1999-05-23 00:00:00+00:00,,,08045850,,,1.5,A
1999-05-24 00:00:00+00:00,,,08045850,,,1.7,A
1999-05-25 00:00:00+00:00,,,08045850,,,20.0,A
1999-05-26 00:00:00+00:00,,,08045850,,,50.0,A
1999-05-27 00:00:00+00:00,,,08045850,,,13.0,A
1999-05-28 00:00:00+00:00,,,08045850,,,19.0,A
1999-05-29 00:00:00+00:00,,,08045850,,,18.0,A
1999-05-30 00:00:00+00:00,,,08045850,,,224.0,A
1999-05-31 00:00:00+00:00,,,08045850,,,213.0,A
1999-06-01 00:00:00+00:00,,,08045850,,,134.0,A
1999-06-02 00:00:00+00:00,,,08045850,,,99.0,A
1999-06-03 00:00:00+00:00,,,08045850,,,65.0,A
1999-06-04 00:00:00+00:00,,,08045850,,,32.0,A
1999-06-05 00:00:00+00:00,,,08045850,,,17.0,A
1999-06-06 00:00:00+00:00,,,08045850,,,11.0,A
1999-06-07 00:00:00+00:00,,,08045850,,,7.1,A
1999-06-08 00:00:00+00:00,,,08045850,,,7.7,A
1999-06-09 00:00:00+00:00,,,08045850,,,5.7,A
1999-06-10 00:00:00+00:00,,,08045850,,,3.7,A
1999-06-11 00:00:00+00:00,,,08045850,,,57.0,A
1999-06-12 00:00:00+00:00,,,08045850,,,74.0,A
1999-06-13 00:00:00+00:00,,,08045850,,,74.0,A
1999-06-14 00:00:00+00:00,,,08045850,,,62.0,A
1999-06-15 00:00:00+00:00,,,08045850,,,35.0,A
1999-06-16 00:00:00+00:00,,,08045850,,,22.0,A
1999-06-17 00:00:00+00:00,,,08045850,,,20.0,A
1999-06-18 00:00:00+00:00,,,08045850,,,7.7,A
1999-06-19 00:00:00+00:00,,,08045850,,,6.8,A
1999-06-20 00:00:00+00:00,,,08045850,,,4.1,A
1999-06-21 00:00:00+00:00,,,08045850,,,2.7,A
1999-06-22 00:00:00+00:00,,,08045850,,,3.0,A
1999-06-23 00:00:00+00:00,,,08045850,,,3.5,A
1999-06-24 00:00:00+00:00,,,08045850,,,2.9,A
1999-06-25 00:00:00+00:00,,,08045850,,,14.0,A
1999-06-26 00:00:00+00:00,,,08045850,,,12.0,A
1999-06-27 00:00:00+00:00,,,08045850,,,6.9,A
1999-06-28 00:00:00+00:00,,,08045850,,,3.1,A
1999-06-29 00:00:00+00:00,,,08045850,,,1.8,A
1999-06-30 00:00:00+00:00,,,08045850,,,1.7,A
1999-07-01 00:00:00+00:00,,,08045850,,,1.4,A
1999-07-02 00:00:00+00:00,,,08045850,,,1.2,A
1999-07-03 00:00:00+00:00,,,08045850,,,1.2,A
1999-07-04 00:00:00+00:00,,,08045850,,,1.5,A
1999-07-05 00:00:00+00:00,,,08045850,,,1.6,A
1999-07-06 00:00:00+00:00,,,08045850,,,1.3,A
1999-07-07 00:00:00+00:00,,,08045850,,,1.2,A
1999-07-08 00:00:00+00:00,,,08045850,,,1.4,A
1999-07-09 00:00:00+00:00,,,08045850,,,1.5,A
1999-07-10 00:00:00+00:00,,,08045850,,,1.4,A
1999-07-11 00:00:00+00:00,,,08045850,,,1.3,A
1999-07-12 00:00:00+00:00,,,08045850,,,1.2,A
1999-07-13 00:00:00+00:00,,,08045850,,,1.1,A
1999-07-14 00:00:00+00:00,,,08045850,,,1.0,A
1999-07-15 00:00:00+00:00,,,08045850,,,0.95,A
1999-07-16 00:00:00+00:00,,,08045850,,,1.1,A
1999-07-17 00:00:00+00:00,,,08045850,,,1.1,A
1999-07-18 00:00:00+00:00,,,08045850,,,1.0,A
1999-07-19 00:00:00+00:00,,,08045850,,,0.87,A
1999-07-20 00:00:00+00:00,,,08045850,,,0.84,A
1999-07-21 00:00:00+00:00,,,08045850,,,0.81,A
1999-07-22 00:00:00+00:00,,,08045850,,,0.8,A
1999-07-23 00:00:00+00:00,,,08045850,,,0.8,A
1999-07-24 00:00:00+00:00,,,08045850,,,0.79,A
1999-07-25 00:00:00+00:00,,,08045850,,,0.79,A
1999-07-26 00:00:00+00:00,,,08045850,,,0.77,A
1999-07-27 00:00:00+00:00,,,08045850,,,0.75,A
1999-07-28 00:00:00+00:00,,,08045850,,,0.75,A
1999-07-29 00:00:00+00:00,,,08045850,,,0.72,A
1999-07-30 00:00:00+00:00,,,08045850,,,0.7,A
1999-07-31 00:00:00+00:00,,,08045850,,,0.68,A
1999-08-01 00:00:00+00:00,,,08045850,,,0.69,A
1999-08-02 00:00:00+00:00,,,08045850,,,0.67,A
1999-08-03 00:00:00+00:00,,,08045850,,,0.66,A
1999-08-04 00:00:00+00:00,,,08045850,,,0.67,A
1999-08-05 00:00:00+00:00,,,08045850,,,0.68,A
1999-08-06 00:00:00+00:00,,,08045850,,,0.67,A
1999-08-07 00:00:00+00:00,,,08045850,,,0.66,A
1999-08-08 00:00:00+00:00,,,08045850,,,0.65,A
1999-08-09 00:00:00+00:00,,,08045850,,,0.65,A
1999-08-10 00:00:00+00:00,,,08045850,,,0.63,A
1999-08-11 00:00:00+00:00,,,08045850,,,0.62,A
1999-08-12 00:00:00+00:00,,,08045850,,,0.64,A
1999-08-13 00:00:00+00:00,,,08045850,,,0.65,A
1999-08-14 00:00:00+00:00,,,08045850,,,0.65,A
1999-08-15 00:00:00+00:00,,,08045850,,,0.65,A
1999-08-16 00:00:00+00:00,,,08045850,,,0.65,A
1999-08-17 00:00:00+00:00,,,08045850,,,0.62,A
1999-08-18 00:00:00+00:00,,,08045850,,,0.58,A
1999-08-19 00:00:00+00:00,,,08045850,,,0.58,A
1999-08-20 00:00:00+00:00,,,08045850,,,0.58,A
1999-08-21 00:00:00+00:00,,,08045850,,,0.57,A
1999-08-22 00:00:00+00:00,,,08045850,,,0.57,A
1999-08-23 00:00:00+00:00,,,08045850,,,0.59,A
1999-08-24 00:00:00+00:00,,,08045850,,,0.59,A
1999-08-25 00:00:00+00:00,,,08045850,,,0.6,A
1999-08-26 00:00:00+00:00,,,08045850,,,0.59,A
1999-08-27 00:00:00+00:00,,,08045850,,,0.59,A
1999-08-28 00:00:00+00:00,,,08045850,,,0.58,A
1999-08-29 00:00:00+00:00,,,08045850,,,0.58,A
1999-08-30 00:00:00+00:00,,,08045850,,,0.6,A
1999-08-31 00:00:00+00:00,,,08045850,,,0.6,A
1999-09-01 00:00:00+00:00,,,08045850,,,0.57,A
1999-09-02 00:00:00+00:00,,,08045850,,,0.56,A
1999-09-03 00:00:00+00:00,,,08045850,,,0.57,A
1999-09-04 00:00:00+00:00,,,08045850,,,0.57,A
1999-09-05 00:00:00+00:00,,,08045850,,,0.57,A
1999-09-06 00:00:00+00:00,,,08045850,,,0.55,A
1999-09-07 00:00:00+00:00,,,08045850,,,0.54,A
1999-09-08 00:00:00+00:00,,,08045850,,,0.55,A
1999-09-09 00:00:00+00:00,,,08045850,,,0.55,A
1999-09-10 00:00:00+00:00,,,08045850,,,0.54,A
1999-09-11 00:00:00+00:00,,,08045850,,,0.54,A
1999-09-12 00:00:00+00:00,,,08045850,,,0.55,A
1999-09-13 00:00:00+00:00,,,08045850,,,0.55,A
1999-09-14 00:00:00+00:00,,,08045850,,,0.54,A
1999-09-15 00:00:00+00:00,,,08045850,,,0.53,A
1999-09-16 00:00:00+00:00,,,08045850,,,0.54,A
1999-09-17 00:00:00+00:00,,,08045850,,,0.55,A
1999-09-18 00:00:00+00:00,,,08045850,,,0.55,A
1999-09-19 00:00:00+00:00,,,08045850,,,0.55,A
1999-09-20 00:00:00+00:00,,,08045850,,,0.6,A
1999-09-21 00:00:00+00:00,,,08045850,,,0.62,A
1999-09-22 00:00:00+00:00,,,08045850,,,0.59,A
1999-09-23 00:00:00+00:00,,,08045850,,,0.57,A
1999-09-24 00:00:00+00:00,,,08045850,,,0.55,A
1999-09-25 00:00:00+00:00,,,08045850,,,0.55,A
1999-09-26 00:00:00+00:00,,,08045850,,,0.71,A
1999-09-27 00:00:00+00:00,,,08045850,,,0.72,A
1999-09-28 00:00:00+00:00,,,08045850,,,0.69,A
1999-09-29 00:00:00+00:00,,,08045850,,,0.65,A
1999-09-30 00:00:00+00:00,,,08045850,,,0.63,A
1999-10-01 00:00:00+00:00,,,08045850,,,0.57,A
1999-10-02 00:00:00+00:00,,,08045850,,,0.57,A
1999-10-03 00:00:00+00:00,,,08045850,,,0.56,A
1999-10-04 00:00:00+00:00,,,08045850,,,0.56,A
1999-10-05 00:00:00+00:00,,,08045850,,,0.57,A
1999-10-06 00:00:00+00:00,,,08045850,,,0.73,A
1999-10-07 00:00:00+00:00,,,08045850,,,0.55,A
1999-10-08 00:00:00+00:00,,,08045850,,,0.54,A
1999-10-09 00:00:00+00:00,,,08045850,,,0.54,A
1999-10-10 00:00:00+00:00,,,08045850,,,0.53,A
1999-10-11 00:00:00+00:00,,,08045850,,,0.58,A
1999-10-12 00:00:00+00:00,,,08045850,,,0.6,A
1999-10-13 00:00:00+00:00,,,08045850,,,0.57,A
1999-10-14 00:00:00+00:00,,,08045850,,,0.56,A
1999-10-15 00:00:00+00:00,,,08045850,,,0.52,A
1999-10-16 00:00:00+00:00,,,08045850,,,0.59,A
1999-10-17 00:00:00+00:00,,,08045850,,,0.63,A
1999-10-18 00:00:00+00:00,,,08045850,,,0.79,A
1999-10-19 00:00:00+00:00,,,08045850,,,0.61,A
1999-10-20 00:00:00+00:00,,,08045850,,,0.53,A
1999-10-21 00:00:00+00:00,,,08045850,,,0.53,A
1999-10-22 00:00:00+00:00,,,08045850,,,0.51,A
1999-10-23 00:00:00+00:00,,,08045850,,,0.5,A
1999-10-24 00:00:00+00:00,,,08045850,,,0.48,A
1999-10-25 00:00:00+00:00,,,08045850,,,0.52,A
1999-10-26 00:00:00+00:00,,,08045850,,,0.51,A
1999-10-27 00:00:00+00:00,,,08045850,,,0.5,A
1999-10-28 00:00:00+00:00,,,08045850,,,0.57,A
1999-10-29 00:00:00+00:00,,,08045850,,,0.6,A
1999-10-30 00:00:00+00:00,,,08045850,,,1.3,A
1999-10-31 00:00:00+00:00,,,08045850,,,0.6,A
1999-11-01 00:00:00+00:00,,,08045850,,,0.64,A
1999-11-02 00:00:00+00:00,,,08045850,,,0.48,A
1999-11-03 00:00:00+00:00,,,08045850,,,0.56,A
1999-11-04 00:00:00+00:00,,,08045850,,,0.76,A
1999-11-05 00:00:00+00:00,,,08045850,,,0.61,A
1999-11-06 00:00:00+00:00,,,08045850,,,0.58,A
1999-11-07 00:00:00+00:00,,,08045850,,,0.59,A
1999-11-08 00:00:00+00:00,,,08045850,,,0.56,A
1999-11-09 00:00:00+00:00,,,08045850,,,0.52,A
1999-11-10 00:00:00+00:00,,,08045850,,,0.55,A
1999-11-11 00:00:00+00:00,,,08045850,,,0.62,A
1999-11-12 00:00:00+00:00,,,08045850,,,0.55,A
1999-11-13 00:00:00+00:00,,,08045850,,,0.55,A
1999-11-14 00:00:00+00:00,,,08045850,,,0.56,A
1999-11-15 00:00:00+00:00,,,08045850,,,0.59,A
1999-11-16 00:00:00+00:00,,,08045850,,,0.64,A
1999-11-17 00:00:00+00:00,,,08045850,,,0.58,A
1999-11-18 00:00:00+00:00,,,08045850,,,0.61,A
1999-11-19 00:00:00+00:00,,,08045850,,,0.75,A
1999-11-20 00:00:00+00:00,,,08045850,,,0.69,A
1999-11-21 00:00:00+00:00,,,08045850,,,1.1,A
1999-11-22 00:00:00+00:00,,,08045850,,,0.91,A
1999-11-23 00:00:00+00:00,,,08045850,,,0.84,A
1999-11-24 00:00:00+00:00,,,08045850,,,0.88,A
1999-11-25 00:00:00+00:00,,,08045850,,,0.8,A
1999-11-26 00:00:00+00:00,,,08045850,,,0.86,A
1999-11-27 00:00:00+00:00,,,08045850,,,0.59,A
1999-11-28 00:00:00+00:00,,,08045850,,,0.58,A
1999-11-29 00:00:00+00:00,,,08045850,,,0.58,A
1999-11-30 00:00:00+00:00,,,08045850,,,0.57,A
1999-12-01 00:00:00+00:00,,,08045850,,,0.59,A
1999-12-02 00:00:00+00:00,,,08045850,,,0.73,A
1999-12-03 00:00:00+00:00,,,08045850,,,0.75,A
1999-12-04 00:00:00+00:00,,,08045850,,,0.95,A
1999-12-05 00:00:00+00:00,,,08045850,,,1.1,A
1999-12-06 00:00:00+00:00,,,08045850,,,1.1,A
1999-12-07 00:00:00+00:00,,,08045850,,,1.1,A
1999-12-08 00:00:00+00:00,,,08045850,,,1.3,A
1999-12-09 00:00:00+00:00,,,08045850,,,1.3,A
1999-12-10 00:00:00+00:00,,,08045850,,,0.67,A
1999-12-11 00:00:00+00:00,,,08045850,,,5.3,A
1999-12-12 00:00:00+00:00,,,08045850,,,14.0,A
1999-12-13 00:00:00+00:00,,,08045850,,,0.89,A
1999-12-14 00:00:00+00:00,,,08045850,,,0.76,A
1999-12-15 00:00:00+00:00,,,08045850,,,0.76,A
1999-12-16 00:00:00+00:00,,,08045850,,,0.86,A
1999-12-17 00:00:00+00:00,,,08045850,,,1.0,A
1999-12-18 00:00:00+00:00,,,08045850,,,0.95,A
1999-12-19 00:00:00+00:00,,,08045850,,,0.89,A
1999-12-20 00:00:00+00:00,,,08045850,,,0.85,A
1999-12-21 00:00:00+00:00,,,08045850,,,0.88,A
1999-12-22 00:00:00+00:00,,,08045850,,,1.0,A
1999-12-23 00:00:00+00:00,,,08045850,,,0.85,A
1999-12-24 00:00:00+00:00,,,08045850,,,0.9,A
1999-12-25 00:00:00+00:00,,,08045850,,,1.1,A
1999-12-26 00:00:00+00:00,,,08045850,,,0.98,A
1999-12-27 00:00:00+00:00,,,08045850,,,1.0,A
1999-12-28 00:00:00+00:00,,,08045850,,,0.95,A
1999-12-29 00:00:00+00:00,,,08045850,,,1.1,A
1999-12-30 00:00:00+00:00,,,08045850,,,1.1,A
1999-12-31 00:00:00+00:00,,,08045850,,,1.0,A
2000-01-01 00:00:00+00:00,,,08045850,,,1.0,A
2000-01-02 00:00:00+00:00,,,08045850,,,1.3,A
2000-01-03 00:00:00+00:00,,,08045850,,,1.1,A
2000-01-04 00:00:00+00:00,,,08045850,,,0.93,A
2000-01-05 00:00:00+00:00,,,08045850,,,1.1,A
2000-01-06 00:00:00+00:00,,,08045850,,,1.1,A
2000-01-07 00:00:00+00:00,,,08045850,,,2.0,A
2000-01-08 00:00:00+00:00,,,08045850,,,2.3,A
2000-01-09 00:00:00+00:00,,,08045850,,,1.1,A
2000-01-10 00:00:00+00:00,,,08045850,,,0.76,A
2000-01-11 00:00:00+00:00,,,08045850,,,0.69,A
2000-01-12 00:00:00+00:00,,,08045850,,,0.76,A
2000-01-13 00:00:00+00:00,,,08045850,,,0.7,A
2000-01-14 00:00:00+00:00,,,08045850,,,0.69,A
2000-01-15 00:00:00+00:00,,,08045850,,,0.96,A
2000-01-16 00:00:00+00:00,,,08045850,,,1.1,A
2000-01-17 00:00:00+00:00,,,08045850,,,0.85,A
2000-01-18 00:00:00+00:00,,,08045850,,,0.69,A
2000-01-19 00:00:00+00:00,,,08045850,,,0.63,A
2000-01-20 00:00:00+00:00,,,08045850,,,0.78,A
2000-01-21 00:00:00+00:00,,,08045850,,,0.74,A
2000-01-22 00:00:00+00:00,,,08045850,,,0.84,A
2000-01-23 00:00:00+00:00,,,08045850,,,0.76,A
2000-01-24 00:00:00+00:00,,,08045850,,,0.69,A
2000-01-25 00:00:00+00:00,,,08045850,,,0.69,A
2000-01-26 00:00:00+00:00,,,08045850,,,0.69,A
2000-01-27 00:00:00+00:00,,,08045850,,,1.2,A
2000-01-28 00:00:00+00:00,,,08045850,,,1.0,A
2000-01-29 00:00:00+00:00,,,08045850,,,0.94,A
2000-01-30 00:00:00+00:00,,,08045850,,,0.87,A
2000-01-31 00:00:00+00:00,,,08045850,,,0.85,A
2000-02-01 00:00:00+00:00,,,08045850,,,1.1,A
2000-02-02 00:00:00+00:00,,,08045850,,,1.0,A
2000-02-03 00:00:00+00:00,,,08045850,,,0.81,A
2000-02-04 00:00:00+00:00,,,08045850,,,0.79,A
2000-02-05 00:00:00+00:00,,,08045850,,,0.95,A
2000-02-06 00:00:00+00:00,,,08045850,,,1.1,A
2000-02-07 00:00:00+00:00,,,08045850,,,0.92,A
2000-02-08 00:00:00+00:00,,,08045850,,,1.0,A
2000-02-09 00:00:00+00:00,,,08045850,,,1.1,A
2000-02-10 00:00:00+00:00,,,08045850,,,1.3,A
2000-02-11 00:00:00+00:00,,,08045850,,,1.1,A
2000-02-12 00:00:00+00:00,,,08045850,,,0.99,A
2000-02-13 00:00:00+00:00,,,08045850,,,1.0,A
2000-02-14 00:00:00+00:00,,,08045850,,,0.87,A
2000-02-15 00:00:00+00:00,,,08045850,,,0.99,A
2000-02-16 00:00:00+00:00,,,08045850,,,0.91,A
2000-02-17 00:00:00+00:00,,,08045850,,,0.78,A
2000-02-18 00:00:00+00:00,,,08045850,,,0.71,A
2000-02-19 00:00:00+00:00,,,08045850,,,0.67,A
2000-02-20 00:00:00+00:00,,,08045850,,,0.67,A
2000-02-21 00:00:00+00:00,,,08045850,,,0.71,A
2000-02-22 00:00:00+00:00,,,08045850,,,1.3,A
2000-02-23 00:00:00+00:00,,,08045850,,,1.6,A
2000-02-24 00:00:00+00:00,,,08045850,,,0.64,A
2000-02-25 00:00:00+00:00,,,08045850,,,0.68,A
2000-02-26 00:00:00+00:00,,,08045850,,,0.93,A
2000-02-27 00:00:00+00:00,,,08045850,,,0.89,A
2000-02-28 00:00:00+00:00,,,08045850,,,0.98,A
2000-02-29 00:00:00+00:00,,,08045850,,,0.87,A
2000-03-01 00:00:00+00:00,,,08045850,,,0.71,A
2000-03-02 00:00:00+00:00,,,08045850,,,0.68,A
2000-03-03 00:00:00+00:00,,,08045850,,,0.64,A
2000-03-04 00:00:00+00:00,,,08045850,,,0.63,A
2000-03-05 00:00:00+00:00,,,08045850,,,0.73,A
2000-03-06 00:00:00+00:00,,,08045850,,,0.91,A
2000-03-07 00:00:00+00:00,,,08045850,,,0.97,A
2000-03-08 00:00:00+00:00,,,08045850,,,1.1,A
2000-03-09 00:00:00+00:00,,,08045850,,,0.8,A
2000-03-10 00:00:00+00:00,,,08045850,,,1.1,A
2000-03-11 00:00:00+00:00,,,08045850,,,0.83,A
2000-03-12 00:00:00+00:00,,,08045850,,,0.84,A
2000-03-13 00:00:00+00:00,,,08045850,,,0.83,A
2000-03-14 00:00:00+00:00,,,08045850,,,0.83,A
2000-03-15 00:00:00+00:00,,,08045850,,,0.83,A
2000-03-16 00:00:00+00:00,,,08045850,,,0.9,A
2000-03-17 00:00:00+00:00,,,08045850,,,0.82,A
2000-03-18 00:00:00+00:00,,,08045850,,,0.85,A
2000-03-19 00:00:00+00:00,,,08045850,,,1.3,A
2000-03-20 00:00:00+00:00,,,08045850,,,0.63,A
2000-03-21 00:00:00+00:00,,,08045850,,,0.67,A
2000-03-22 00:00:00+00:00,,,08045850,,,0.85,A
2000-03-23 00:00:00+00:00,,,08045850,,,1.5,A
2000-03-24 00:00:00+00:00,,,08045850,,,0.86,A
2000-03-25 00:00:00+00:00,,,08045850,,,0.86,A
2000-03-26 00:00:00+00:00,,,08045850,,,6.2,A
2000-03-27 00:00:00+00:00,,,08045850,,,0.43,A
2000-03-28 00:00:00+00:00,,,08045850,,,0.98,A
2000-03-29 00:00:00+00:00,,,08045850,,,0.82,A
2000-03-30 00:00:00+00:00,,,08045850,,,0.42,A
2000-03-31 00:00:00+00:00,,,08045850,,,0.41,A
2000-04-01 00:00:00+00:00,,,08045850,,,0.81,A
2000-04-02 00:00:00+00:00,,,08045850,,,0.79,A
2000-04-03 00:00:00+00:00,,,08045850,,,0.43,A
2000-04-04 00:00:00+00:00,,,08045850,,,0.52,A
2000-04-05 00:00:00+00:00,,,08045850,,,0.48,A
2000-04-06 00:00:00+00:00,,,08045850,,,0.35,A
2000-04-07 00:00:00+00:00,,,08045850,,,0.33,A
2000-04-08 00:00:00+00:00,,,08045850,,,0.24,A
2000-04-09 00:00:00+00:00,,,08045850,,,0.37,A
2000-04-10 00:00:00+00:00,,,08045850,,,0.38,A
2000-04-11 00:00:00+00:00,,,08045850,,,1.1,A
2000-04-12 00:00:00+00:00,,,08045850,,,0.91,A
2000-04-13 00:00:00+00:00,,,08045850,,,0.39,A
2000-04-14 00:00:00+00:00,,,08045850,,,0.5,A
2000-04-15 00:00:00+00:00,,,08045850,,,0.59,A
2000-04-16 00:00:00+00:00,,,08045850,,,0.65,A
2000-04-17 00:00:00+00:00,,,08045850,,,0.44,A
2000-04-18 00:00:00+00:00,,,08045850,,,0.48,A
2000-04-19 00:00:00+00:00,,,08045850,,,0.46,A
2000-04-20 00:00:00+00:00,,,08045850,,,0.48,A
2000-04-21 00:00:00+00:00,,,08045850,,,0.54,A
2000-04-22 00:00:00+00:00,,,08045850,,,0.79,A
2000-04-23 00:00:00+00:00,,,08045850,,,1.0,A
2000-04-24 00:00:00+00:00,,,08045850,,,1.1,A
2000-04-25 00:00:00+00:00,,,08045850,,,1.9,A
2000-04-26 00:00:00+00:00,,,08045850,,,1.4,A
2000-04-27 00:00:00+00:00,,,08045850,,,2.6,A
2000-04-28 00:00:00+00:00,,,08045850,,,2.6,A
2000-04-29 00:00:00+00:00,,,08045850,,,3.5,A
2000-04-30 00:00:00+00:00,,,08045850,,,5.6,A
2000-05-01 00:00:00+00:00,,,08045850,,,6.6,A
2000-05-02 00:00:00+00:00,,,08045850,,,0.58,A
2000-05-03 00:00:00+00:00,,,08045850,,,8.3,A
2000-05-04 00:00:00+00:00,,,08045850,,,3.6,A
2000-05-05 00:00:00+00:00,,,08045850,,,3.3,A
2000-05-06 00:00:00+00:00,,,08045850,,,3.4,A
2000-05-07 00:00:00+00:00,,,08045850,,,3.1,A
2000-05-08 00:00:00+00:00,,,08045850,,,3.1,A
2000-05-09 00:00:00+00:00,,,08045850,,,3.0,A
2000-05-10 00:00:00+00:00,,,08045850,,,2.1,A
2000-05-11 00:00:00+00:00,,,08045850,,,1.1,A
2000-05-12 00:00:00+00:00,,,08045850,,,1.0,A
2000-05-13 00:00:00+00:00,,,08045850,,,0.87,A
2000-05-14 00:00:00+00:00,,,08045850,,,0.79,A
2000-05-15 00:00:00+00:00,,,08045850,,,0.94,A
2000-05-16 00:00:00+00:00,,,08045850,,,0.95,A
2000-05-17 00:00:00+00:00,,,08045850,,,0.9,A
2000-05-18 00:00:00+00:00,,,08045850,,,0.81,A
2000-05-19 00:00:00+00:00,,,08045850,,,1.5,A
2000-05-20 00:00:00+00:00,,,08045850,,,1.4,A
2000-05-21 00:00:00+00:00,,,08045850,,,0.82,A
2000-05-22 00:00:00+00:00,,,08045850,,,1.0,A
2000-05-23 00:00:00+00:00,,,08045850,,,0.67,A
2000-05-24 00:00:00+00:00,,,08045850,,,0.76,A
2000-05-25 00:00:00+00:00,,,08045850,,,0.79,A
2000-05-26 00:00:00+00:00,,,08045850,,,0.86,A
2000-05-27 00:00:00+00:00,,,08045850,,,1.7,A
2000-05-28 00:00:00+00:00,,,08045850,,,1.4,A
2000-05-29 00:00:00+00:00,,,08045850,,,0.81,A
2000-05-30 00:00:00+00:00,,,08045850,,,0.95,A
2000-05-31 00:00:00+00:00,,,08045850,,,0.91,A
2000-06-01 00:00:00+00:00,,,08045850,,,0.84,A
2000-06-02 00:00:00+00:00,,,08045850,,,0.86,A
2000-06-03 00:00:00+00:00,,,08045850,,,3.4,A
2000-06-04 00:00:00+00:00,,,08045850,,,20.0,A
2000-06-05 00:00:00+00:00,,,08045850,,,9.0,A
2000-06-06 00:00:00+00:00,,,08045850,,,2.4,A
2000-06-07 00:00:00+00:00,,,08045850,,,1.6,A
2000-06-08 00:00:00+00:00,,,08045850,,,1.5,A
2000-06-09 00:00:00+00:00,,,08045850,,,1.4,A
2000-06-10 00:00:00+00:00,,,08045850,,,1.6,A
2000-06-11 00:00:00+00:00,,,08045850,,,6.2,A
2000-06-12 00:00:00+00:00,,,08045850,,,7.1,A
2000-06-13 00:00:00+00:00,,,08045850,,,2.7,A
2000-06-14 00:00:00+00:00,,,08045850,,,1.8,A
2000-06-15 00:00:00+00:00,,,08045850,,,2.1,A
2000-06-16 00:00:00+00:00,,,08045850,,,1.9,A
2000-06-17 00:00:00+00:00,,,08045850,,,2.4,A
2000-06-18 00:00:00+00:00,,,08045850,,,4.7,A
2000-06-19 00:00:00+00:00,,,08045850,,,6.0,A
2000-06-20 00:00:00+00:00,,,08045850,,,3.1,A
2000-06-21 00:00:00+00:00,,,08045850,,,2.0,A
2000-06-22 00:00:00+00:00,,,08045850,,,1.7,A
2000-06-23 00:00:00+00:00,,,08045850,,,1.2,A
2000-06-24 00:00:00+00:00,,,08045850,,,1.2,A
